"1","1","7","0","الفاتحة","Al-Faatiha","The Opening","Meccan","5","1","fatiha","1420981637"
"2","2","286","7","البقرة","Al-Baqara","The Cow","Medinan","87","40","baqara","1420981637"
"3","3","200","293","آل عمران","Aal-i-Imraan","The Family of Imraan","Medinan","89","20","aaleimran","1420981637"
"4","4","176","493","النساء","An-Nisaa","The Women","Medinan","92","24","nisa","1420981637"
"5","5","120","669","المائدة","Al-Maaida","The Table","Medinan","112","16","maida","1420981637"
"6","6","165","789","الأنعام","Al-An'aam","The Cattle","Meccan","55","20","alanam","1420981637"
"7","7","206","954","الأعراف","Al-A'raaf","The Heights","Meccan","39","24","alaraf","1420981637"
"8","8","75","1160","الأنفال","Al-Anfaal","The Spoils of War","Medinan","88","10","alanfal","1420981637"
"9","9","129","1235","التوبة","At-Tawba","The Repentance","Medinan","113","16","tauba","1420981637"
"10","10","109","1364","يونس","Yunus","Jonas","Meccan","51","11","younus","1420981637"
"11","11","123","1473","هود","Hud","Hud","Meccan","52","10","huud","1420981637"
"12","12","111","1596","يوسف","Yusuf","Joseph","Meccan","53","12","yousuf","1420981637"
"13","13","43","1707","الرعد","Ar-Ra'd","The Thunder","Medinan","96","6","arraad","1420981637"
"14","14","52","1750","ابراهيم","Ibrahim","Abraham","Meccan","72","7","ibrahim","1420981637"
"15","15","99","1802","الحجر","Al-Hijr","The Rock","Meccan","54","6","alhijr","1420981637"
"16","16","128","1901","النحل","An-Nahl","The Bee","Meccan","70","16","annahal","1420981637"
"17","17","111","2029","الإسراء","Al-Israa","The Night Journey","Meccan","50","12","baniisrail","1420981637"
"18","18","110","2140","الكهف","Al-Kahf","The Cave","Meccan","69","12","alkahaf","1420981637"
"19","19","98","2250","مريم","Maryam","Mary","Meccan","44","6","maryam","1420981637"
"20","20","135","2348","طه","Taa-Haa","Taa-Haa","Meccan","45","8","taha","1420981637"
"21","21","112","2483","الأنبياء","Al-Anbiyaa","The Prophets","Meccan","73","7","alanbia","1420981637"
"22","22","78","2595","الحج","Al-Hajj","The Pilgrimage","Medinan","103","10","alhajj","1420981637"
"23","23","118","2673","المؤمنون","Al-Muminoon","The Believers","Meccan","74","6","almominoon","1420981637"
"24","24","64","2791","النور","An-Noor","The Light","Medinan","102","9","noor","1420981637"
"25","25","77","2855","الفرقان","Al-Furqaan","The Criterion","Meccan","42","6","furqan","1420981637"
"26","26","227","2932","الشعراء","Ash-Shu'araa","The Poets","Meccan","47","11","ashshuaraa","1420981637"
"27","27","93","3159","النمل","An-Naml","The Ant","Meccan","48","7","namal","1420981637"
"28","28","88","3252","القصص","Al-Qasas","The Stories","Meccan","49","8","alqasas","1420981637"
"29","29","69","3340","العنكبوت","Al-Ankaboot","The Spider","Meccan","85","7","ankaboot","1420981637"
"30","30","60","3409","الروم","Ar-Room","The Romans","Meccan","84","6","arroom","1420981637"
"31","31","34","3469","لقمان","Luqman","Luqman","Meccan","57","3","luqman","1420981637"
"32","32","30","3503","السجدة","As-Sajda","The Prostration","Meccan","75","3","assijda","1420981637"
"33","33","73","3533","الأحزاب","Al-Ahzaab","The Clans","Medinan","90","9","ahzab","1420981637"
"34","34","54","3606","سبإ","Saba","Sheba","Meccan","58","6","saba","1420981637"
"35","35","45","3660","فاطر","Faatir","The Originator","Meccan","43","5","fatir","1420981637"
"36","36","83","3705","يس","Yaseen","Yaseen","Meccan","41","5","yaseen","1420981637"
"37","37","182","3788","الصافات","As-Saaffaat","Those drawn up in Ranks","Meccan","56","5","assaffat","1420981637"
"38","38","88","3970","ص","Saad","The letter Saad","Meccan","38","5","suad","1420981637"
"39","39","75","4058","الزمر","Az-Zumar","The Groups","Meccan","59","8","azzumar","1420981637"
"40","40","85","4133","غافر","Al-Ghaafir","The Forgiver","Meccan","60","9","momin","1420981637"
"41","41","54","4218","فصلت","Fussilat","Explained in detail","Meccan","61","6","hameemassijda","1420981637"
"42","42","53","4272","الشورى","Ash-Shura","Consultation","Meccan","62","5","shoora","1420981637"
"43","43","89","4325","الزخرف","Az-Zukhruf","Ornaments of gold","Meccan","63","7","zukhraf","1420981637"
"44","44","59","4414","الدخان","Ad-Dukhaan","The Smoke","Meccan","64","3","addukhan","1420981637"
"45","45","37","4473","الجاثية","Al-Jaathiya","Crouching","Meccan","65","4","aljasia","1420981637"
"46","46","35","4510","الأحقاف","Al-Ahqaf","The Dunes","Meccan","66","4","ahqaf","1420981637"
"47","47","38","4545","محمد","Muhammad","Muhammad","Medinan","95","4","mohammad","1420981637"
"48","48","29","4583","الفتح","Al-Fath","The Victory","Medinan","111","4","alfatah","1420981637"
"49","49","18","4612","الحجرات","Al-Hujuraat","The Inner Apartments","Medinan","106","2","alhujurat","1420981637"
"50","50","45","4630","ق","Qaaf","The letter Qaaf","Meccan","34","3","qaaf","1420981637"
"51","51","60","4675","الذاريات","Adh-Dhaariyat","The Winnowing Winds","Meccan","67","3","azzariyat","1420981637"
"52","52","49","4735","الطور","At-Tur","The Mount","Meccan","76","2","attoor","1420981637"
"53","53","62","4784","النجم","An-Najm","The Star","Meccan","23","3","annajm","1420981637"
"54","54","55","4846","القمر","Al-Qamar","The Moon","Meccan","37","3","alqamar","1420981637"
"55","55","78","4901","الرحمن","Ar-Rahmaan","The Beneficent","Medinan","97","3","rahman","1420981637"
"56","56","96","4979","الواقعة","Al-Waaqia","The Inevitable","Meccan","46","3","alwaqia","1420981637"
"57","57","29","5075","الحديد","Al-Hadid","The Iron","Medinan","94","4","hadeed","1420981637"
"58","58","22","5104","المجادلة","Al-Mujaadila","The Pleading Woman","Medinan","105","3","mujadla","1420981637"
"59","59","24","5126","الحشر","Al-Hashr","The Exile","Medinan","101","3","alhashr","1420981637"
"60","60","13","5150","الممتحنة","Al-Mumtahana","She that is to be examined","Medinan","91","2","mumtahina","1420981637"
"61","61","14","5163","الصف","As-Saff","The Ranks","Medinan","109","2","assaf","1420981637"
"62","62","11","5177","الجمعة","Al-Jumu'a","Friday","Medinan","110","2","aljuma","1420981637"
"63","63","11","5188","المنافقون","Al-Munaafiqoon","The Hypocrites","Medinan","104","2","munafiqoon","1420981637"
"64","64","18","5199","التغابن","At-Taghaabun","Mutual Disillusion","Medinan","108","2","taghabun","1420981637"
"65","65","12","5217","الطلاق","At-Talaaq","Divorce","Medinan","99","2","attalaq","1420981637"
"66","66","12","5229","التحريم","At-Tahrim","The Prohibition","Medinan","107","2","attahreem","1420981637"
"67","67","30","5241","الملك","Al-Mulk","The Sovereignty","Meccan","77","2","almulk","1420981637"
"68","68","52","5271","القلم","Al-Qalam","The Pen","Meccan","2","2","alqalam","1420981637"
"69","69","52","5323","الحاقة","Al-Haaqqa","The Reality","Meccan","78","2","alhaqqa","1420981637"
"70","70","44","5375","المعارج","Al-Ma'aarij","The Ascending Stairways","Meccan","79","2","almuaarij","1420981637"
"71","71","28","5419","نوح","Nooh","Noah","Meccan","71","2","nooh","1420981637"
"72","72","28","5447","الجن","Al-Jinn","The Jinn","Meccan","40","2","aljin","1420981637"
"73","73","20","5475","المزمل","Al-Muzzammil","The Enshrouded One","Meccan","3","2","almuzzammil","1420981637"
"74","74","56","5495","المدثر","Al-Muddaththir","The Cloaked One","Meccan","4","2","almuddasir","1420981637"
"75","75","40","5551","القيامة","Al-Qiyaama","The Resurrection","Meccan","31","2","alqiyama","1420981637"
"76","76","31","5591","الانسان","Al-Insaan","Man","Medinan","98","2","addahr","1420981637"
"77","77","50","5622","المرسلات","Al-Mursalaat","The Emissaries","Meccan","33","2","almursalat","1420981637"
"78","78","40","5672","النبإ","An-Naba","The Announcement","Meccan","80","2","annaba","1420981637"
"79","79","46","5712","النازعات","An-Naazi'aat","Those who drag forth","Meccan","81","2","annaziat","1420981637"
"80","80","42","5758","عبس","Abasa","He frowned","Meccan","24","1","abass","1420981637"
"81","81","29","5800","التكوير","At-Takwir","The Overthrowing","Meccan","7","1","attakveer","1420981637"
"82","82","19","5829","الإنفطار","Al-Infitaar","The Cleaving","Meccan","82","1","alinfitar","1420981637"
"83","83","36","5848","المطففين","Al-Mutaffifin","Defrauding","Meccan","86","1","mutafifin","1420981637"
